Customer ID,Customer Name,Segment,home_region,total_orders,total_quantity,total_sales,total_profit
DW-13195,David Wiener,Corporate,West,6,39,1080.79,-86.87
DW-13480,Dianna Wilson,Home Office,Central,5,38,5271.61,1348.76
DW-13540,Don Weiss,Consumer,West,5,21,344.06,69.67
DW-13585,Dorothy Wardle,Corporate,East,7,44,1204.75,-266.9
Dl-13600,Dorris liebe,Corporate,West,5,19,755.56,175.24
Dp-13240,Dean percer,Home Office,South,11,99,7198.78,333.36
EA-14035,Erin Ashbrook,Corporate,East,13,87,2846.6,-52.74
EB-13705,Ed Braxton,Corporate,East,9,55,3644.86,13.62
EB-13750,Edward Becker,Corporate,East,10,91,3236.28,-80.29
EB-13840,Ellis Ballard,Corporate,West,5,41,4358.1,656.2
EB-13870,Emily Burns,Consumer,West,10,41,2767.15,261.53
EB-13930,Eric Barreto,Consumer,South,5,24,944.61,0.6
EB-13975,Erica Bern,Corporate,West,4,18,1643.21,162.88
EB-14110,Eugene Barchas,Consumer,East,6,30,3071.08,184.77
EB-14170,Evan Bailliet,Consumer,Central,6,20,1186.31,282.17
EC-14050,Erin Creighton,Consumer,East,5,37,461.91,96.43
ED-13885,Emily Ducich,Home Office,Central,8,54,3484.92,670.44
EG-13900,Emily Grady,Consumer,East,5,44,1832.08,104.27
EH-13765,Edward Hooks,Corporate,East,12,120,10310.73,1393.52
EH-13945,Eric Hoffmann,Consumer,Central,8,72,684.07,53.54
EH-13990,Erica Hackney,Consumer,East,6,20,825.97,150.38
EH-14005,Erica Hernandez,Home Office,South,7,50,1219.47,-94.14
EH-14125,Eugene Hildebrand,Home Office,East,10,76,3082.54,96.27
EH-14185,Evan Henry,Consumer,East,6,22,923.88,242.11
EJ-13720,Ed Jacobs,Consumer,West,4,31,2162.12,387.02
EJ-14155,Eva Jacobs,Consumer,East,5,31,2656.67,451.88
EK-13795,Eileen Kiefer,Home Office,West,4,18,1303.44,97.11
EL-13735,Ed Ludwig,Home Office,East,2,9,124.28,27.12
EM-13810,Eleni McCrary,Corporate,East,5,23,2566.95,-133.83
EM-13825,Elizabeth Moffitt,Corporate,Central,8,57,2339.58,682.55
EM-13960,Eric Murdock,Consumer,East,5,18,933.7,102.3
EM-14065,Erin Mull,Consumer,East,4,22,228.97,40.15
EM-14095,Eudokia Martin,Corporate,West,4,34,1040.99,240.24
EM-14140,Eugene Moren,Home Office,West,6,74,4588.4,1319.37
EM-14200,Evan Minnotte,Home Office,South,3,13,366.85,21.77
EN-13780,Edward Nazzal,Consumer,East,4,27,2199.35,496.11
EP-13915,Emily Phan,Consumer,Central,17,124,5478.08,144.96
ER-13855,Elpida Rittenbach,Corporate,South,3,27,1245.77,-295.74
ES-14020,Erica Smith,Consumer,West,5,31,3510.39,1003.29
ES-14080,Erin Smith,Corporate,West,9,77,4657.94,246.67
FA-14230,Frank Atkinson,Corporate,West,7,58,2983.96,520.52
FC-14245,Frank Carlisle,Home Office,West,7,50,3418.72,1217.17
FC-14335,Fred Chung,Corporate,West,7,37,3889.33,714.29
FG-14260,Frank Gastineau,Home Office,East,7,48,1383.12,394.74
FH-14275,Frank Hawley,Corporate,Central,10,65,4256.23,1073.27
FH-14350,Fred Harton,Consumer,South,4,52,2271.25,706.29
FH-14365,Fred Hopkins,Corporate,West,8,52,6987.14,2050.28
FM-14215,Filia McAdams,Corporate,South,10,48,2456.6,249.68
FM-14290,Frank Merwin,Home Office,West,9,79,3736.18,198.11
FM-14380,Fred McMath,Consumer,South,9,53,2523.21,191.49
FO-14305,Frank Olsen,Consumer,West,10,60,2678.35,215.6
FP-14320,Frank Preis,Consumer,East,8,54,4046.72,406.45
FW-14395,Fred Wasserman,Corporate,South,3,9,79.75,23.49
GA-14515,George Ashbrook,Consumer,West,8,48,3919.73,840.9
GA-14725,Guy Armstrong,Consumer,Central,11,79,1398.36,136.71
GB-14530,George Bell,Corporate,East,11,62,1568.4,7.84
GB-14575,Giulietta Baptist,Consumer,South,5,63,4716.28,1135.84
GD-14590,Giulietta Dortch,Corporate,East,4,25,1888.03,230.94
GG-14650,Greg Guthrie,Corporate,West,9,92,2223.91,12.7
GH-14410,Gary Hansen,Home Office,West,9,65,2819.5,-576.83
GH-14425,Gary Hwang,Consumer,West,4,51,4172.72,1176.42
GH-14485,Gene Hale,Corporate,Central,2,15,1361.21,-95.45
GH-14665,Greg Hansen,Consumer,Central,2,9,146.92,-5.81
GK-14620,Grace Kelly,Corporate,West,9,66,6497.19,1448.55
GM-14440,Gary McGarr,Consumer,West,7,43,3582.79,347.27
GM-14455,Gary Mitchum,Home Office,East,6,54,3078.58,793.28
GM-14500,Gene McClure,Consumer,East,10,53,1255.61,441.32
GM-14680,Greg Matthias,Consumer,West,6,31,3163.59,35.49
GM-14695,Greg Maxwell,Corporate,West,3,44,6049.95,188.72
GP-14740,Guy Phonely,Corporate,East,2,21,236.5,31.84
GR-14560,Georgia Rosenberg,Corporate,East,2,23,1284.38,359.83
GT-14635,Grant Thornton,Corporate,East,3,26,9351.25,-4108.66
GT-14710,Greg Tran,Consumer,East,11,106,11820.04,2163.43
GT-14755,Guy Thornton,Consumer,West,4,23,226.45,-6.14
GW-14605,Giulietta Weimer,Consumer,South,7,43,2189.0,-268.54
GZ-14470,Gary Zandusky,Consumer,West,9,48,4355.14,1087.75
GZ-14545,George Zrebassa,Corporate,West,4,25,2454.61,828.66
HA-14905,Helen Abelman,Consumer,East,7,45,2163.2,270.86
HA-14920,Helen Andreada,Consumer,West,8,72,2584.04,99.14
HD-14785,Harold Dahlen,Home Office,East,3,31,251.33,-135.88
HE-14800,Harold Engle,Corporate,East,4,44,883.54,274.4
HF-14995,Herbert Flentye,Consumer,West,7,70,2533.15,-13.88
HG-14845,Harry Greene,Consumer,East,5,31,785.59,147.0
HG-14965,Henry Goldwyn,Corporate,West,12,68,3247.63,-2797.96
HG-15025,Hunter Glantz,Consumer,Central,7,38,3690.25,804.61
HH-15010,Hilary Holden,Corporate,West,2,20,218.66,86.73
HJ-14875,Heather Jas,Home Office,West,5,21,358.07,98.65
HK-14890,Heather Kirkland,Corporate,Central,8,64,4877.76,956.95
HL-15040,Hunter Lopez,Consumer,South,6,50,12873.29,5622.43
HM-14860,Harry Marie,Corporate,Central,10,76,8236.76,2437.98
HM-14980,Henry MacAllister,Consumer,West,4,29,736.24,117.28
HP-14815,Harold Pawlan,Home Office,Central,7,44,1990.28,373.86
HR-14770,Hallie Redmond,Home Office,Central,5,38,1299.28,185.58
HR-14830,Harold Ryan,Corporate,East,7,51,5248.82,1196.95
HW-14935,Helen Wasserman,Corporate,Central,8,85,9300.27,2164.16
HZ-14950,Henia Zydlo,Consumer,East,5,21,886.53,-130.39
IG-15085,Ivan Gibson,Consumer,West,4,19,744.57,320.5
IL-15100,Ivan Liston,Consumer,Central,7,60,5040.7,1121.94
IM-15055,Ionia McGrath,Consumer,West,3,19,2872.6,975.77
IM-15070,Irene Maddox,Consumer,West,7,93,4930.36,514.65
JA-15970,Joseph Airdo,Consumer,West,8,87,6490.93,-819.42
JB-15400,Jennifer Braxton,Corporate,Central,10,43,1791.6,156.05
JB-15925,Joni Blumstein,Consumer,East,3,32,900.52,-286.98
JB-16000,Joy Bell-,Consumer,West,7,32,644.11,126.76
JB-16045,Julia Barnett,Home Office,East,5,32,2518.13,201.52
JC-15340,Jasper Cacioppo,Consumer,West,4,12,71.26,-0.36
JC-15385,Jenna Caffey,Consumer,West,1,14,1058.1,502.92
JC-15775,John Castell,Consumer,East,9,64,2771.96,279.57
JC-16105,Julie Creighton,Corporate,East,5,43,858.55,201.6
JD-15790,John Dryer,Consumer,Central,5,26,2152.33,-266.55
JD-15895,Jonathan Doherty,Corporate,East,11,150,7610.74,1050.27
JD-16015,Joy Daniels,Consumer,Central,6,39,385.41,26.76
JD-16060,Julia Dunbar,Consumer,Central,3,17,695.45,111.11
JD-16150,Justin Deggeller,Corporate,West,8,60,8827.98,1619.52
JE-15475,Jeremy Ellison,Consumer,Central,6,49,1388.68,276.22
JE-15610,Jim Epp,Corporate,South,7,74,7754.88,1623.4
JE-15715,Joe Elijah,Consumer,West,10,97,8697.64,1262.29
JE-15745,Joel Eaton,Consumer,South,13,90,6760.88,221.8
JE-16165,Justin Ellison,Corporate,Central,3,34,2697.24,789.65
JF-15190,Jamie Frazer,Consumer,East,7,72,2279.54,575.13
JF-15295,Jason Fortune-,Consumer,West,5,42,955.08,97.29
JF-15355,Jay Fein,Consumer,West,6,58,1911.79,330.2
JF-15415,Jennifer Ferguson,Consumer,West,6,69,2371.41,635.64
JF-15490,Jeremy Farry,Consumer,West,11,36,1082.88,-18.07
JF-15565,Jill Fjeld,Consumer,South,8,67,4198.26,1073.21
JG-15115,Jack Garza,Consumer,South,3,20,2358.62,684.19
JG-15160,James Galang,Consumer,West,11,70,6366.32,1415.67
JG-15310,Jason Gross,Corporate,East,6,46,2240.53,3.8
JG-15805,John Grady,Corporate,East,6,46,1506.97,206.1
JH-15430,Jennifer Halladay,Consumer,South,4,29,309.25,-24.08
JH-15820,John Huston,Consumer,East,6,29,528.87,26.08
JH-15910,Jonathan Howell,Consumer,Central,7,35,959.44,-13.55
JH-15985,Joseph Holt,Consumer,West,6,64,7954.99,-644.7
JH-16180,Justin Hirsh,Consumer,East,4,28,2256.43,-96.95
JJ-15445,Jennifer Jackson,Consumer,East,5,25,709.16,200.56
JJ-15760,Joel Jenkins,Home Office,South,2,11,194.99,34.45
JK-15205,Jamie Kunitz,Consumer,West,5,67,4427.12,1219.98
JK-15325,Jason Klamczynski,Corporate,Central,3,15,383.8,55.33
JK-15370,Jay Kimmel,Consumer,West,8,72,2709.56,330.28
JK-15625,Jim Karlsson,Consumer,West,7,44,3759.96,750.95
JK-15640,Jim Kriz,Home Office,East,9,41,4760.4,1172.53
JK-15730,Joe Kamberova,Consumer,Central,10,88,4867.19,55.05
JK-16090,Juliana Krohn,Consumer,West,3,43,3747.59,586.66
JK-16120,Julie Kriz,Home Office,Central,10,49,2932.42,122.66
JL-15130,Jack Lebron,Consumer,South,6,42,1214.93,-207.8
JL-15175,James Lanier,Home Office,West,5,29,1571.52,209.28
JL-15235,Janet Lee,Consumer,East,5,39,2203.62,54.52
JL-15505,Jeremy Lonsdale,Consumer,West,6,56,3173.84,591.72
JL-15835,John Lee,Consumer,West,11,143,9799.84,228.91
JL-15850,John Lucas,Consumer,West,6,38,2725.23,779.9
JM-15250,Janet Martin,Consumer,Central,6,91,3158.94,19.82
JM-15265,Janet Molinari,Corporate,Central,5,52,1804.12,502.61
JM-15535,Jessica Myrick,Consumer,East,7,46,1733.39,356.54
JM-15580,Jill Matthias,Consumer,West,5,26,303.94,113.12
JM-15655,Jim Mitchum,Corporate,West,5,41,864.93,117.2
JM-15865,John Murray,Consumer,West,7,50,7625.08,1574.62
JM-16195,Justin MacKendrick,Consumer,West,10,74,2833.84,754.11
JO-15145,Jack O'Briant,Corporate,West,9,59,3254.95,581.4
JO-15280,Jas O'Carroll,Consumer,West,6,36,1934.24,202.14
JO-15550,Jesus Ocampo,Home Office,East,5,42,1090.76,167.67
JP-15460,Jennifer Patt,Corporate,East,7,54,1669.07,429.75
